----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
fsub    $10    $12    $15  
fadd    $3     $17    $29  
fadd    $28    $1     $1   
fsw     $1     $0     924
flw     $23    $0     1488
fsw     $13    $0     964
fadd    $26    $0     $15  
flw     $30    $0     -1468
flw     $3     $0     616
fadd    $2     $23    $21  
flw     $23    $0     80
fadd    $7     $5     $27  
fadd    $11    $29    $14  
flw     $2     $0     732
flw     $24    $0     -812
flw     $18    $0     -2000
fadd    $25    $14    $24  
flw     $23    $0     -724
fadd    $24    $21    $9   
fsub    $7     $0     $9   
fsw     $12    $0     -412
fsw     $30    $0     -1752
flw     $13    $0     -1612
fsw     $0     $0     1172
fsub    $6     $24    $20  
fsw     $30    $0     -24
fsw     $6     $0     884
fsub    $19    $20    $30  
flw     $9     $0     808
fsw     $28    $0     1036
fsw     $30    $0     804
fsub    $27    $24    $18  
fsub    $11    $18    $2   
fsw     $22    $0     636
flw     $28    $0     1512
fsub    $15    $11    $7   
fadd    $11    $27    $8   
flw     $6     $0     1764
fsw     $10    $0     -1840
flw     $7     $0     -1136
fsub    $9     $20    $3   
fsub    $18    $2     $22  
fsw     $28    $0     880
fsw     $20    $0     1652
fsub    $4     $27    $19  
fadd    $26    $15    $25  
fsub    $3     $17    $29  
flw     $17    $0     -832
fsw     $14    $0     976
fsw     $18    $0     -136
fadd    $26    $21    $18  
flw     $23    $0     252
flw     $20    $0     -1508
fadd    $9     $24    $3   
fsub    $19    $21    $7   
fadd    $14    $31    $4   
fsub    $30    $14    $2   
flw     $7     $0     288
fsub    $1     $23    $3   
fsub    $20    $12    $5   
fsub    $16    $17    $23  
flw     $14    $0     508
fsw     $22    $0     652
fsw     $9     $0     -1504
flw     $25    $0     760
flw     $25    $0     -724
fadd    $12    $2     $11  
fsub    $8     $7     $9   
flw     $16    $0     -1252
fsw     $31    $0     -640
flw     $30    $0     1500
fadd    $26    $10    $8   
fadd    $5     $21    $18  
fadd    $10    $20    $3   
fadd    $23    $13    $4   
fsub    $2     $25    $3   
flw     $13    $0     -1824
flw     $19    $0     488
fadd    $29    $25    $31  
flw     $13    $0     -124
fsw     $8     $0     1952
fsw     $22    $0     36
fsw     $28    $0     1172
flw     $16    $0     -936
fsw     $21    $0     440
fadd    $24    $15    $12  
fsub    $18    $4     $19  
fsub    $28    $4     $20  
fsw     $0     $0     276
flw     $6     $0     -1876
flw     $31    $0     -1512
fadd    $8     $20    $29  
fsw     $26    $0     -124
fsub    $10    $20    $5   
fsw     $29    $0     1780
fsw     $18    $0     1428
fsw     $20    $0     -668
fsub    $30    $18    $31  
fsub    $17    $18    $9   
flw     $1     $0     1100
fsub    $18    $31    $4   
fadd    $23    $28    $9   
fsub    $7     $24    $10  
fadd    $11    $27    $4   
fadd    $24    $1     $13  
fadd    $28    $24    $3   
flw     $26    $0     -1852
fadd    $15    $24    $21  
fsw     $20    $0     1832
fadd    $8     $25    $21  
fadd    $31    $1     $28  
fadd    $18    $4     $30  
fsub    $22    $23    $26  
fadd    $10    $4     $27  
flw     $17    $0     -500
fadd    $14    $14    $10  
fsw     $29    $0     4
flw     $28    $0     -852
fsub    $10    $24    $16  
flw     $12    $0     1012
fadd    $14    $11    $14  
flw     $4     $0     1860
fsub    $14    $11    $3   
flw     $18    $0     1956
fadd    $30    $31    $19  
fadd    $28    $24    $18  
flw     $30    $0     -1424
flw     $25    $0     -1236
fsw     $2     $0     -836
fadd    $10    $3     $15  
fsub    $10    $30    $0   
fsub    $24    $15    $29  
flw     $21    $0     -1236
fsub    $8     $30    $28  
flw     $23    $0     788
fsw     $19    $0     -1152
flw     $16    $0     1896
flw     $3     $0     340
fsw     $20    $0     -16
fadd    $8     $31    $15  
fadd    $10    $1     $26  
fsub    $13    $18    $13  
fsub    $11    $6     $0   
fadd    $20    $23    $11  
fsw     $28    $0     -1056
fadd    $19    $22    $14  
fsub    $24    $19    $11  
fsw     $28    $0     552
fsw     $25    $0     516
fadd    $2     $0     $21  
flw     $19    $0     -1732
fadd    $1     $5     $13  
fsw     $3     $0     1952
fadd    $8     $13    $12  
flw     $27    $0     -1944
fsub    $30    $27    $22  
flw     $2     $0     -1660
fadd    $25    $26    $16  
fadd    $24    $9     $9   
fsub    $18    $13    $28  
fadd    $2     $23    $7   
fsw     $15    $0     1464
flw     $2     $0     -1524
fadd    $25    $27    $20  
fsw     $24    $0     -1444
fadd    $4     $30    $24  
fsw     $13    $0     1524
fsw     $3     $0     -12
flw     $26    $0     -1720
flw     $26    $0     -1196
fadd    $17    $30    $13  
fadd    $14    $29    $11  
fadd    $6     $22    $21  
fsw     $13    $0     464
flw     $22    $0     -1488
fsw     $23    $0     348
flw     $19    $0     636
fsub    $16    $20    $13  
fadd    $15    $17    $13  
fsw     $3     $0     1284
flw     $18    $0     -1056
fsw     $19    $0     568
fsw     $7     $0     28
fadd    $26    $27    $28  
fadd    $7     $11    $8   
fsw     $0     $0     1216
fsw     $13    $0     900
fsub    $3     $23    $15  
flw     $14    $0     -1156
fsub    $5     $6     $26  
fsub    $22    $27    $24  
fadd    $17    $10    $14  
fsub    $7     $17    $5   
fadd    $18    $19    $13  
fadd    $26    $28    $26  
flw     $29    $0     1184
fadd    $7     $23    $2   
fsw     $23    $0     1160
fsub    $4     $22    $16  
fsub    $8     $26    $23  
fadd    $7     $27    $5   
fadd    $7     $2     $22  
flw     $1     $0     1048
fsw     $9     $0     672
fsw     $15    $0     1808
fsw     $15    $0     -1520
