----------------------
R-type  $rd  $r1  $r2
I-type  $rd  $r1  im
S-type  $r2  $r1  im
B-type  $r1  $r2  im
----------------------
beq     $0     $31    2044
addi    $0     $0     2044
addi    $0     $0     2044
fsub    $10    $13    $7   
fsw     $23    $0     1036
fadd    $14    $7     $10  
fadd    $23    $4     $4   
flw     $7     $0     744
fadd    $30    $28    $10  
fsub    $9     $9     $31  
fsub    $21    $10    $12  
fadd    $6     $2     $28  
fsub    $28    $7     $19  
flw     $7     $0     716
fsub    $31    $19    $13  
fsw     $8     $0     2044
fadd    $7     $25    $18  
fsw     $29    $0     1100
fadd    $2     $1     $22  
fsw     $20    $0     -1752
flw     $26    $0     -2016
fadd    $31    $11    $23  
fsw     $12    $0     880
fadd    $30    $26    $2   
fadd    $3     $18    $25  
fsw     $14    $0     2028
fsub    $4     $19    $9   
flw     $16    $0     1648
fadd    $14    $12    $3   
fsub    $7     $0     $9   
flw     $24    $0     -1324
fsw     $10    $0     1736
fsw     $16    $0     -944
fadd    $10    $29    $19  
fsw     $23    $0     956
flw     $1     $0     -332
flw     $27    $0     1072
flw     $16    $0     1604
flw     $15    $0     924
fsw     $30    $0     -296
fsub    $10    $0     $27  
fsw     $2     $0     1768
flw     $28    $0     1288
flw     $27    $0     -652
fsw     $10    $0     1208
fsw     $30    $0     -1584
fsw     $14    $0     1292
fadd    $25    $31    $31  
fsub    $11    $8     $30  
flw     $8     $0     232
flw     $15    $0     1500
flw     $29    $0     -1252
flw     $25    $0     -2032
fsub    $31    $10    $28  
flw     $20    $0     164
fsub    $18    $6     $27  
flw     $29    $0     -1952
fsub    $9     $19    $28  
fsub    $20    $12    $13  
fsub    $4     $17    $2   
fsw     $6     $0     1084
fsw     $16    $0     872
fadd    $31    $5     $7   
flw     $17    $0     -1188
fsub    $5     $26    $15  
fadd    $7     $24    $8   
fsw     $20    $0     -1644
fadd    $14    $18    $30  
fsw     $25    $0     -16
fsw     $27    $0     1064
fadd    $17    $13    $5   
flw     $20    $0     1812
fadd    $16    $28    $2   
fsw     $31    $0     312
fsw     $14    $0     456
fadd    $18    $23    $3   
fadd    $31    $0     $10  
fsw     $19    $0     1728
flw     $17    $0     -1228
flw     $25    $0     -1648
fadd    $8     $12    $26  
fsub    $27    $0     $11  
fsub    $21    $6     $31  
fsub    $6     $9     $5   
fadd    $14    $5     $27  
fsub    $18    $1     $7   
fsub    $5     $8     $18  
flw     $13    $0     1380
fsub    $18    $7     $27  
fadd    $24    $25    $24  
fsub    $7     $14    $19  
flw     $27    $0     -1620
flw     $22    $0     80
fsub    $16    $21    $17  
fsw     $8     $0     -472
fadd    $30    $10    $17  
fsw     $22    $0     -1480
fsub    $1     $28    $14  
fsub    $5     $15    $23  
fadd    $28    $31    $31  
flw     $15    $0     -744
fsw     $14    $0     -924
flw     $9     $0     1708
fadd    $23    $0     $24  
fsw     $1     $0     1980
flw     $1     $0     -448
fadd    $14    $23    $19  
flw     $7     $0     -1320
fsub    $23    $10    $0   
fsw     $17    $0     1828
fsw     $10    $0     -1816
fsw     $1     $0     -968
flw     $12    $0     -1176
fsub    $10    $26    $6   
fsw     $31    $0     -188
fsub    $5     $25    $28  
flw     $6     $0     1744
fsw     $28    $0     -380
fsw     $25    $0     1016
fadd    $31    $25    $3   
fsub    $27    $4     $15  
fsub    $25    $23    $24  
fadd    $30    $22    $23  
flw     $18    $0     1980
fsw     $27    $0     1476
fadd    $19    $0     $22  
fsub    $13    $24    $26  
fsw     $20    $0     -988
fsw     $9     $0     -524
fsw     $19    $0     760
fadd    $15    $23    $11  
fsub    $15    $18    $7   
fadd    $7     $17    $31  
fadd    $15    $29    $7   
fadd    $28    $11    $11  
fsub    $5     $21    $12  
fadd    $29    $6     $28  
fsub    $19    $29    $11  
fsub    $29    $18    $18  
fadd    $24    $20    $0   
fsw     $15    $0     472
flw     $21    $0     236
fadd    $24    $27    $15  
flw     $11    $0     916
fsub    $12    $4     $17  
fsub    $30    $25    $10  
flw     $24    $0     1552
flw     $11    $0     -456
fsw     $27    $0     1400
fsub    $2     $11    $12  
flw     $15    $0     1084
fsw     $12    $0     96
fsub    $31    $3     $12  
flw     $18    $0     -384
fsw     $10    $0     -1280
fsub    $19    $26    $6   
flw     $17    $0     1248
flw     $31    $0     -316
flw     $25    $0     -244
flw     $3     $0     -1160
fsw     $14    $0     1128
fsw     $6     $0     -1832
fadd    $8     $28    $0   
fadd    $4     $14    $16  
fsub    $30    $31    $23  
fadd    $4     $20    $2   
fsw     $14    $0     1964
fsw     $25    $0     304
fsw     $13    $0     500
fadd    $12    $13    $27  
fadd    $18    $26    $27  
flw     $7     $0     1944
fadd    $20    $27    $5   
fsub    $14    $29    $21  
fsw     $19    $0     -1112
fadd    $4     $2     $8   
flw     $5     $0     244
fsw     $25    $0     -1912
fadd    $9     $21    $8   
fsw     $14    $0     132
flw     $7     $0     624
fsub    $11    $19    $4   
fsw     $18    $0     104
fsub    $25    $28    $12  
fadd    $6     $15    $10  
fsw     $29    $0     1368
fadd    $29    $7     $1   
fadd    $5     $19    $29  
flw     $29    $0     1480
fadd    $10    $12    $23  
fadd    $17    $29    $4   
fsw     $10    $0     -1444
fadd    $11    $2     $22  
fsw     $20    $0     -672
fsw     $27    $0     -112
fsub    $30    $5     $5   
fsub    $2     $8     $17  
flw     $5     $0     -872
fadd    $21    $17    $17  
fadd    $21    $20    $11  
flw     $19    $0     104
fsw     $3     $0     1720
flw     $21    $0     1888
fsub    $21    $2     $7   
flw     $4     $0     -288
fsub    $3     $5     $4   
flw     $16    $0     1220
fadd    $17    $29    $1   
fsub    $1     $10    $24  
